2step;DistalPhalanxOutlineAgeGroup;0.0050;89.000;0.797;4.000;108.960;0.020
2step;DistalPhalanxOutlineAgeGroup;0.0100;99.000;0.792;4.000;153.710;0.030
2step;DistalPhalanxOutlineAgeGroup;0.0100;99.000;0.792;4.000;110.370;0.020
2step;DistalPhalanxOutlineCorrect;0.0005;170.038;0.750;66.792;310.550;0.380
2step;DistalPhalanxOutlineCorrect;0.0005;171.108;0.750;70.360;317.060;0.390
2step;DistalPhalanxOutlineCorrect;0.0010;216.521;0.708;69.202;339.030;0.430
2step;DistalPhalanxOutlineCorrect;0.0010;244.002;0.638;45.003;331.070;0.400
2step;DistalPhalanxOutlineCorrect;0.0050;343.000;0.448;4.000;318.290;0.040
2step;DistalPhalanxOutlineCorrect;0.0050;319.075;0.488;4.025;413.800;0.040
2step;DistalPhalanxOutlineCorrect;0.0100;355.000;0.448;4.000;306.330;0.030
2step;DistalPhalanxOutlineCorrect;0.0100;356.000;0.447;4.000;297.250;0.040
2step;ECG200;0.0005;19.659;0.830;53.180;91.600;0.040
2step;ECG200;0.0005;18.453;0.830;29.050;71.950;0.040
2step;ECG200;0.0010;22.550;0.800;25.500;113.560;0.030
2step;ECG200;0.0010;26.909;0.790;59.090;80.900;0.040
2step;ECG200;0.0050;24.460;0.820;12.920;101.230;0.010
2step;ECG200;0.0050;23.990;0.810;9.980;101.280;0.020
2step;ECG200;0.0100;29.000;0.760;5.000;98.120;0.010
2step;ECG200;0.0100;29.000;0.760;5.000;94.530;0.010
2step;Earthquakes;0.0005;76.105;0.780;31.711;1883.990;0.170
2step;Earthquakes;0.0005;100.356;0.717;58.115;1830.230;0.240
2step;Earthquakes;0.0010;77.880;0.786;27.578;1953.330;0.120
2step;Earthquakes;0.0010;62.512;0.817;10.907;2554.890;0.090
2step;Earthquakes;0.0050;68.615;0.820;6.593;2012.700;0.030
2step;Earthquakes;0.0050;68.525;0.820;6.537;2008.920;0.020
2step;Earthquakes;0.0100;70.880;0.820;4.000;2017.650;0.020
2step;Earthquakes;0.0100;70.880;0.820;4.000;1890.500;0.020
2step;FISH;0.0005;49.843;0.863;295.349;3419.670;1.460
2step;FISH;0.0005;52.493;0.846;291.349;3470.040;1.370
2step;FISH;0.0010;69.731;0.800;198.463;7727.490;1.940
2step;FISH;0.0010;71.381;0.846;253.606;3558.010;1.990
2step;FISH;0.0050;132.035;0.269;4.611;3809.770;0.010
2step;FISH;0.0050;146.500;0.183;4.000;3836.650;0.010
2step;FISH;0.0100;137.000;0.257;4.000;3550.550;0.000
2step;FISH;0.0100;137.000;0.257;4.000;3577.550;0.010
2step;Gun_Point;0.0005;39.002;0.773;66.687;86.780;0.100
