Dataset,Ntest,T,Alpha_t,Alpha,Exact_Alpha_t,Ratio,Ratio_+-_10%,Ratio_+-_20%,Alpha_10%,Alpha_20%,Earliness.SVM,Accuracy.SVM,Cost.SVM_10%,Cost.SVM_20%,Earliness.GP,Accuracy.GP,Cost.GP_10%,Cost.GP_20%
MoteStrain,1252,84,0.005,0.7,0.00510,102%,TRUE,TRUE,0.7,0.7,18.12%,0.82,320.642208,320.642208,7.60%,0.78,315.40384,315.40384
MoteStrain,1252,84,0.01,0.5,0.01190,119%,FALSE,TRUE,NA,0.5,18.25%,0.82,NA,417.2916,7.60%,0.78,NA,355.36768
OSULeaf,242,427,0.0005,0.8,0.00059,117%,FALSE,TRUE,NA,0.8,22.40%,0.45,NA,144.673408,16.45%,0.5,NA,129.4992215
OSULeaf,242,427,0.001,0.7,0.00100,100%,TRUE,TRUE,0.7,0.7,19.75%,0.45,153.508465,153.508465,8.88%,0.46,139.8560592,139.8560592
OSULeaf,242,427,0.005,0.3,0.00546,109%,TRUE,TRUE,0.3,0.3,5.99%,0.36,185.828533,185.828533,7.48%,0.45,171.746916,171.746916
OSULeaf,242,427,0.01,0.2,0.00937,94%,TRUE,TRUE,0.2,0.2,5.00%,0.31,218.647,218.647,6.12%,0.41,206.020408,206.020408
SonyAIBORobotSurfaceII,953,65,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
SonyAIBORobotSurfaceII,953,65,0.001,0.9,0.00171,171%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
SonyAIBORobotSurfaceII,953,65,0.005,0.8,0.00385,77%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
SonyAIBORobotSurfaceII,953,65,0.01,0.6,0.01026,103%,TRUE,TRUE,0.6,0.6,10.00%,0.75,300.195,300.195,13.68%,0.79,284.87076,284.87076
StarLightCurves,8236,1024,0.0005,0.7,0.00042,84%,FALSE,TRUE,NA,0.7,9.13%,0.92,NA,1043.876762,10.13%,0.95,NA,838.9650816
StarLightCurves,8236,1024,0.001,0.5,0.00098,98%,TRUE,TRUE,0.5,0.5,8.46%,0.92,1372.367974,1372.367974,7.23%,0.93,1186.273907,1186.273907
StarLightCurves,8236,1024,0.005,0.2,0.00391,78%,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
StarLightCurves,8236,1024,0.01,0.1,0.00879,88%,FALSE,TRUE,NA,0.1,5.00%,0.85,NA,5452.232,5.02%,0.88,NA,5222.019328
SwedishLeaf,625,128,0.0005,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,,NA,NA,NA
SwedishLeaf,625,128,0.001,0.9,0.00087,87%,FALSE,TRUE,NA,0.9,15.72%,0.68,NA,212.576,27.67%,0.86,NA,109.636
SwedishLeaf,625,128,0.005,0.6,0.00521,104%,TRUE,TRUE,0.6,0.6,17.26%,0.69,262.79,262.79,17.16%,0.77,212.39,212.39
